数据编号,槽开口宽度Bs0（mm）,永磁体轴向长度/动子极距            a,气隙厚度gap（mm）,线圈径向宽度rcoil（mm）,永磁体径向长度rpm（mm）,平均推力（N）,推力波动（N）,平均铜损(W),平均铁损(W),,,,,,,平均铜损(mW),平均铁损(mW)
144,3,0.5,1.3,10,6.8,106.6549395,41.81012417,25.18428894,1.119598928,,,,,,,25184.28894,1119.598928
145,1,0.6,0.7,8,4.8,68.07661285,25.83304838,17.15467555,0.844768811,,,,,,,17154.67555,844.768811
146,3,0.6,0.7,8,4.8,65.98942634,43.4280403,17.15467555,0.800541496,,,,,,,17154.67555,800.5414956
147,1,0.6,0.7,9,4.8,76.44121778,16.7465375,19.71795869,0.94875868,,,,,,,19717.95869,948.7586797
148,3,0.6,0.7,9,4.8,74.05901044,49.74258688,19.71795869,0.891258877,,,,,,,19717.95869,891.2588772
149,1,0.6,0.7,10,4.8,85.84006705,31.95753913,22.368697,1.088732118,,,,,,,22368.697,1088.732118
150,3,0.6,0.7,10,4.8,80.66048853,57.29326863,22.368697,1.014086554,,,,,,,22368.697,1014.086554
151,1,0.6,0.9,8,4.8,65.36242673,19.60990015,17.32729571,0.731132007,,,,,,,17327.29571,731.1320067
152,3,0.6,0.9,8,4.8,67.77983337,35.49277848,17.32729571,0.674179164,,,,,,,17327.29571,674.1791641
153,1,0.6,0.9,9,4.8,77.24754296,24.96112026,19.91269334,0.809978453,,,,,,,19912.69334,809.9784527
154,3,0.6,0.9,9,4.8,71.90958186,39.40434486,19.91269334,0.754861813,,,,,,,19912.69334,754.8618134
155,1,0.6,0.9,10,4.8,80.67661535,21.62101461,22.58569814,0.897171782,,,,,,,22585.69814,897.171782
156,3,0.6,0.9,10,4.8,80.21157023,44.66686319,22.58569814,0.841523248,,,,,,,22585.69814,841.5232484
157,1,0.6,1.1,8,4.8,64.73264751,14.4899901,17.49987165,0.649272614,,,,,,,17499.87165,649.2726142
158,3,0.6,1.1,8,4.8,61.41946764,24.47166923,17.49987165,0.595936793,,,,,,,17499.87165,595.9367928
159,1,0.6,1.1,9,4.8,77.28464876,22.93813558,20.10736863,0.723085346,,,,,,,20107.36863,723.0853456
160,3,0.6,1.1,9,4.8,71.70680341,28.55760802,20.10736863,0.661379267,,,,,,,20107.36863,661.379267
161,1,0.6,1.1,10,4.8,75.97616231,16.25893566,22.80262232,0.804001415,,,,,,,22802.62232,804.0014147
162,3,0.6,1.1,10,4.8,73.24562631,23.78301654,22.80262232,0.73684843,,,,,,,22802.62232,736.8484295
163,1,0.6,1.3,8,4.8,65.22972135,11.35570315,17.67240468,0.594852854,,,,,,,17672.40468,594.8528535
164,3,0.6,1.3,8,4.8,69.6467703,26.70163836,17.67240468,0.537794999,,,,,,,17672.40468,537.7949988
165,1,0.6,1.3,9,4.8,70.240682,13.74664209,20.30198629,0.661429781,,,,,,,20301.98629,661.4297806
166,3,0.6,1.3,9,4.8,67.74908882,19.66039219,20.30198629,0.592642851,,,,,,,20301.98629,592.6428513
167,1,0.6,1.3,10,4.8,70.79902937,13.35565459,23.01947179,0.733861208,,,,,,,23019.47179,733.8612078
168,3,0.6,1.3,10,4.8,66.20269287,22.52589145,23.01947179,0.657473169,,,,,,,23019.47179,657.4731687
169,1,0.6,0.7,8,5.2,74.00685799,22.18091824,17.49987165,0.90283699,,,,,,,17499.87165,902.8369898
170,3,0.6,0.7,8,5.2,73.45002274,41.953045,17.49987165,0.867824334,,,,,,,17499.87165,867.8243341
171,1,0.6,0.7,9,5.2,84.39424502,25.64846077,20.10736863,1.01909739,,,,,,,20107.36863,1019.09739
172,3,0.6,0.7,9,5.2,86.20344874,48.91301497,20.10736863,0.978614237,,,,,,,20107.36863,978.6142373
173,1,0.6,0.7,10,5.2,90.56751812,21.87131549,22.80262232,1.148167846,,,,,,,22802.62232,1148.167846
174,3,0.6,0.7,10,5.2,87.02807605,38.16210716,22.80262232,1.096171966,,,,,,,22802.62232,1096.171966
175,1,0.6,0.9,8,5.2,71.77559117,18.24565829,17.67240468,0.790641616,,,,,,,17672.40468,790.6416158
176,3,0.6,0.9,8,5.2,69.82618209,35.09377948,17.67240468,0.748651522,,,,,,,17672.40468,748.6515218
177,1,0.6,0.9,9,5.2,85.7959514,24.02929157,20.30198629,0.878002041,,,,,,,20301.98629,878.0020406
178,3,0.6,0.9,9,5.2,82.23179042,35.86354027,20.30198629,0.834077394,,,,,,,20301.98629,834.0773936
179,1,0.6,0.9,10,5.2,90.94400257,27.23071502,23.01947179,0.979744019,,,,,,,23019.47179,979.7440189
180,3,0.6,0.9,10,5.2,82.33363957,37.04300146,23.01947179,0.923895425,,,,,,,23019.47179,923.8954248
181,1,0.6,1.1,8,5.2,69.89843261,13.4568699,17.84489606,0.721049337,,,,,,,17844.89606,721.0493366
182,3,0.6,1.1,8,5.2,71.24011782,27.37135074,17.84489606,0.661785602,,,,,,,17844.89606,661.7856018
183,1,0.6,1.1,9,5.2,80.56577955,23.03587475,20.496548,0.786161925,,,,,,,20496.548,786.1619247
184,3,0.6,1.1,9,5.2,80.84050039,31.6469867,20.496548,0.733279649,,,,,,,20496.548,733.2796489
185,1,0.6,1.1,10,5.2,88.5532493,41.01771415,23.23624866,0.872468464,,,,,,,23236.24866,872.4684636
186,3,0.6,1.1,10,5.2,81.37205463,34.62829202,23.23624866,0.800574799,,,,,,,23236.24866,800.5747989
187,1,0.6,1.3,8,5.2,72.79373783,13.25736909,18.01734701,0.655334242,,,,,,,18017.34701,655.3342423
188,3,0.6,1.3,8,5.2,70.2818,23.30541768,18.01734701,0.601444162,,,,,,,18017.34701,601.4441615
189,1,0.6,1.3,9,5.2,78.16340054,17.10308265,20.69105537,0.722272393,,,,,,,20691.05537,722.2723928
190,3,0.6,1.3,9,5.2,79.73032458,27.92762431,20.69105537,0.660704454,,,,,,,20691.05537,660.7044543
191,1,0.6,1.3,10,5.2,80.25373894,27.84732017,23.45295499,0.799488006,,,,,,,23452.95499,799.4880055
192,3,0.6,1.3,10,5.2,81.58625732,24.90327003,23.45295499,0.730055602,,,,,,,23452.95499,730.0556023
193,1,0.6,0.7,8,5.6,84.60785853,21.78315011,17.84489606,0.991801621,,,,,,,17844.89606,991.8016206
194,3,0.6,0.7,8,5.6,85.9416294,57.66086865,17.84489606,0.950168572,,,,,,,17844.89606,950.1685721
195,1,0.6,0.7,9,5.6,97.37406564,32.71949829,20.496548,1.103341348,,,,,,,20496.548,1103.341348
196,3,0.6,0.7,9,5.6,93.54559266,55.03074243,20.496548,1.057741874,,,,,,,20496.548,1057.741874
197,1,0.6,0.7,10,5.6,106.4564679,54.68285144,23.23624866,1.244416051,,,,,,,23236.24866,1244.416051
198,3,0.6,0.7,10,5.6,97.32772554,37.11973557,23.23624866,1.184379799,,,,,,,23236.24866,1184.379799
199,1,0.6,0.9,8,5.6,77.39514975,19.83219218,18.01734701,0.864313632,,,,,,,18017.34701,864.3136318
200,3,0.6,0.9,8,5.6,79.36124349,32.27102218,18.01734701,0.824835484,,,,,,,18017.34701,824.8354838
201,1,0.6,0.9,9,5.6,88.0609682,16.80689531,20.69105537,0.956966837,,,,,,,20691.05537,956.9668367
202,3,0.6,0.9,9,5.6,89.43359924,36.23908239,20.69105537,0.911503045,,,,,,,20691.05537,911.5030449
203,1,0.6,0.9,10,5.6,97.29389039,34.96120666,23.45295499,1.064912117,,,,,,,23452.95499,1064.912117
204,3,0.6,0.9,10,5.6,95.09621997,44.12308689,23.45295499,1.007546133,,,,,,,23452.95499,1007.546133
205,1,0.6,1.1,8,5.6,79.88250515,24.09150659,18.1897587,0.787538398,,,,,,,18189.7587,787.5383983
206,3,0.6,1.1,8,5.6,81.28854978,35.71274308,18.1897587,0.738364984,,,,,,,18189.7587,738.3649842
207,1,0.6,1.1,9,5.6,86.51933737,17.4361163,20.88550993,0.861181319,,,,,,,20885.50993,861.1813187
208,3,0.6,1.1,9,5.6,80.38044788,29.39013811,20.88550993,0.814102799,,,,,,,20885.50993,814.1027985
209,1,0.6,1.1,10,5.6,90.56833569,30.99548532,23.66959277,0.949950881,,,,,,,23669.59277,949.9508812
210,3,0.6,1.1,10,5.6,93.63400153,36.96939531,23.66959277,0.893668358,,,,,,,23669.59277,893.6683584
211,1,0.6,1.3,8,5.6,84.50364833,34.26362764,18.36213224,0.726295077,,,,,,,18362.13224,726.2950767
212,3,0.6,1.3,8,5.6,80.6496706,36.08461593,18.36213224,0.67375663,,,,,,,18362.13224,673.7566299
213,1,0.6,1.3,9,5.6,92.40603551,33.95469808,21.07991317,0.800851416,,,,,,,21079.91317,800.8514164
214,3,0.6,1.3,9,5.6,88.13863726,27.19723536,21.07991317,0.741829024,,,,,,,21079.91317,741.8290238
215,1,0.6,1.3,10,5.6,86.29657614,17.00589074,23.8861639,0.864713599,,,,,,,23886.1639,864.7135987
216,3,0.6,1.3,10,5.6,91.73479777,32.72046994,23.8861639,0.804343636,,,,,,,23886.1639,804.3436363
217,1,0.6,0.7,8,6,87.43876053,25.9020733,18.1897587,1.070933337,,,,,,,18189.7587,1070.933337
218,3,0.6,0.7,8,6,86.72069594,47.4911942,18.1897587,1.039515207,,,,,,,18189.7587,1039.515207
219,1,0.6,0.7,9,6,98.31110798,21.36074313,20.88550993,1.182363178,,,,,,,20885.50993,1182.363178
220,3,0.6,0.7,9,6,96.74027202,51.27946844,20.88550993,1.151854956,,,,,,,20885.50993,1151.854956
221,1,0.6,0.7,10,6,115.3753346,38.3406359,23.66959277,1.332865635,,,,,,,23669.59277,1332.865635
222,3,0.6,0.7,10,6,112.8238498,52.51996582,23.66959277,1.294129908,,,,,,,23669.59277,1294.129908
223,1,0.6,0.9,8,6,88.50209349,19.10886636,18.36213224,0.950044102,,,,,,,18362.13224,950.0441015
224,3,0.6,0.9,8,6,86.15500648,33.98243762,18.36213224,0.912675467,,,,,,,18362.13224,912.6754665
225,1,0.6,0.9,9,6,100.4569203,22.88844563,21.07991317,1.046099806,,,,,,,21079.91317,1046.099806
226,3,0.6,0.9,9,6,98.68531838,31.56693378,21.07991317,1.002642241,,,,,,,21079.91317,1002.642241
227,1,0.6,0.9,10,6,104.8635762,23.7854346,23.8861639,1.144523094,,,,,,,23886.1639,1144.523094
228,3,0.6,0.9,10,6,106.5781243,47.0629135,23.8861639,1.100226827,,,,,,,23886.1639,1100.226827
